"WOJ","WOJEWÓDZTWO","IMIĘ_PIERWSZE","PŁEĆ","LICZBA_WYSTĄPIEŃ"
2,"dolnośląskie","NIKODEM","MĘŻCZYZNA",445
4,"kujawsko-pomorskie","NIKODEM","MĘŻCZYZNA",319
6,"lubelskie","NIKODEM","MĘŻCZYZNA",401
8,"lubuskie","NIKODEM","MĘŻCZYZNA",169
14,"mazowieckie","JAN","MĘŻCZYZNA",996
12,"małopolskie","NIKODEM","MĘŻCZYZNA",622
16,"opolskie","NIKODEM","MĘŻCZYZNA",128
18,"podkarpackie","NIKODEM","MĘŻCZYZNA",428
20,"podlaskie","NIKODEM","MĘŻCZYZNA",232
22,"pomorskie","NIKODEM","MĘŻCZYZNA",357
28,"warmińsko-mazurskie","NIKODEM","MĘŻCZYZNA",280
30,"wielkopolskie","LEON","MĘŻCZYZNA",531
32,"zachodniopomorskie","NIKODEM","MĘŻCZYZNA",286
10,"łódzkie","JAN","MĘŻCZYZNA",375
24,"śląskie","NIKODEM","MĘŻCZYZNA",593
26,"świętokrzyskie","NIKODEM","MĘŻCZYZNA",231
